
Gem Systems GSM-19W 3101329 v6.0 24 X 2003 
ID 1 file 23c-ost .b   09 VII10
datum  48000.00


120044.0  48486.99 99
120045.0  48486.62 99
120046.0  48486.04 99
120047.0  48486.05 99
120048.0  48486.56 99
120049.0  48486.79 99
120050.0  48487.17 99
120051.0  48487.15 99
120052.0  48486.73 99
120053.0  48486.78 99
120054.0  48486.83 99
120055.0  48486.87 99
120056.0  48487.09 99
120057.0  48487.14 99
120058.0  48487.45 99
120059.0  48487.51 99
120100.0  48488.02 99
120101.0  48488.21 99
120102.0  48488.55 99
120103.0  48488.73 99
120104.0  48489.13 99
120105.0  48489.45 99
120106.0  48489.50 99
120107.0  48489.68 99
120108.0  48489.94 99
120109.0  48489.42 99
120110.0  48489.44 99
120111.0  48489.56 99
120112.0  48489.69 99
120113.0  48489.62 99
120114.0  48489.42 99
120115.0  48488.59 99
120116.0  48486.90 99
120117.0  48488.12 99
120118.0  48488.31 99
120119.0  48488.03 99
120120.0  48487.33 99
120121.0  48487.30 99
120122.0  48487.76 99
120123.0  48488.18 99
120124.0  48488.30 99
120125.0  48487.80 99
120126.0  48487.58 99
120127.0  48487.75 99
120128.0  48488.21 99
120129.0  48488.59 99
120130.0  48488.68 99
120131.0  48488.47 99
120132.0  48488.16 99
120133.0  48487.94 99
120134.0  48487.41 99
120135.0  48487.54 99
120136.0  48487.65 99
120137.0  48487.58 99
120138.0  48487.33 99
120139.0  48486.92 99
120140.0  48486.96 99
120141.0  48486.79 99
120142.0  48486.95 99
120143.0  48487.53 99
120144.0  48488.04 99
120145.0  48488.25 99
120146.0  48488.42 99
120147.0  48488.63 99
120148.0  48488.11 99
120149.0  48487.65 99
120150.0  48487.58 99
120151.0  48487.29 99
120152.0  48487.57 99
120153.0  48487.62 99
120154.0  48487.57 99
120155.0  48487.58 99
120156.0  48487.60 99
120157.0  48487.88 99
120158.0  48488.09 99
120159.0  48487.82 99
120200.0  48487.81 99
120201.0  48487.67 99
120202.0  48487.75 99
120203.0  48487.99 99
120204.0  48488.24 99
120205.0  48488.43 99
120206.0  48488.33 99
120207.0  48488.83 99
120208.0  48489.24 99
120209.0  48489.09 99
120210.0  48488.82 99
120211.0  48488.52 99
120212.0  48488.22 99
120213.0  48488.22 99
120214.0  48488.00 99
120215.0  48487.54 99
120216.0  48486.97 99
120217.0  48487.10 99
120218.0  48486.72 99
120219.0  48486.71 99
120220.0  48486.74 99
120221.0  48487.03 99
120222.0  48487.37 99
120223.0  48487.57 99
120224.0  48487.57 99
120225.0  48487.24 99
120226.0  48487.20 99
120227.0  48487.45 99
120228.0  48487.71 99
120229.0  48488.19 99
120230.0  48488.68 99
120231.0  48488.76 99
120232.0  48488.95 99
120233.0  48489.40 99
120234.0  48490.09 99
120235.0  48490.15 99
120236.0  48489.74 99
120237.0  48489.36 99
120238.0  48489.98 99
120239.0  48490.18 99
120240.0  48489.73 99
120241.0  48489.39 99
120242.0  48488.93 99
120243.0  48488.46 99
120244.0  48487.77 99
120245.0  48487.18 99
120246.0  48486.77 99
120247.0  48486.55 99
120248.0  48486.79 99
120249.0  48487.34 99
120250.0  48487.57 99
120251.0  48487.26 99
120252.0  48486.45 99
120253.0  48486.10 99
120254.0  48486.17 99
120255.0  48486.67 99
120256.0  48487.08 99
120257.0  48487.50 99
120258.0  48487.59 99
120259.0  48487.83 99
120300.0  48488.28 99
120301.0  48488.61 99
120302.0  48488.87 99
120303.0  48489.30 99
120304.0  48489.67 99
120305.0  48489.21 99
120306.0  48489.07 99
120307.0  48489.20 99
120308.0  48489.56 99
120309.0  48489.55 99
120310.0  48489.82 99
120311.0  48490.15 99
120312.0  48489.68 99
120313.0  48489.23 99
120314.0  48489.03 99
120315.0  48488.40 99
120316.0  48488.01 99
120317.0  48487.52 99
120318.0  48488.04 99
120319.0  48489.01 99
120320.0  48488.96 99
120321.0  48488.90 99
120322.0  48489.12 99
120323.0  48488.93 99
120324.0  48489.07 99
120325.0  48488.88 99
120326.0  48489.01 99
120327.0  48489.57 99
120328.0  48489.54 99
120329.0  48489.67 99
120330.0  48489.46 99
120331.0  48488.81 99
120332.0  48488.50 99
120333.0  48488.36 99
120334.0  48488.52 99
120335.0  48487.94 99
120336.0  48487.38 99
120337.0  48487.33 99
120338.0  48487.78 99
120339.0  48487.91 99
120340.0  48487.76 99
120341.0  48487.74 99
120342.0  48488.09 99
120343.0  48488.04 99
120344.0  48488.09 99
120345.0  48488.49 99
120346.0  48488.47 99
120347.0  48488.59 99
120348.0  48488.36 99
120349.0  48487.99 99
120350.0  48487.62 99
120351.0  48487.14 99
120352.0  48486.86 99
120353.0  48487.53 99
120354.0  48488.19 99
120355.0  48488.99 99
120356.0  48489.13 99
120357.0  48489.44 99
120358.0  48489.44 99
120359.0  48489.13 99
120400.0  48489.18 99
120401.0  48489.74 99
120402.0  48490.50 99
120403.0  48490.95 99
120404.0  48491.24 99
120405.0  48491.26 99
120406.0  48490.64 99
120407.0  48490.23 99
120408.0  48489.86 99
120409.0  48489.47 99
120410.0  48488.66 99
120411.0  48487.54 99
120412.0  48487.11 99
120413.0  48486.80 99
120414.0  48486.67 99
120415.0  48486.78 99
120416.0  48486.88 99
120417.0  48486.71 99
120418.0  48486.73 99
120419.0  48486.93 99
120420.0  48487.19 99
120421.0  48487.41 99
120422.0  48487.90 99
120423.0  48488.00 99
120424.0  48488.11 99
120425.0  48488.68 99
120426.0  48488.70 99
120427.0  48488.75 99
120428.0  48488.66 99
120429.0  48488.65 99
120430.0  48488.68 99
120431.0  48488.73 99
120432.0  48488.58 99
120433.0  48488.74 99
120434.0  48488.98 99
120435.0  48489.36 99
120436.0  48489.71 99
120437.0  48489.92 99
120438.0  48490.22 99
120439.0  48490.03 99
120440.0  48490.08 99
120441.0  48490.42 99
120442.0  48490.28 99
120443.0  48489.67 99
120444.0  48489.35 99
120445.0  48489.31 99
120446.0  48489.46 99
120447.0  48489.16 99
120448.0  48488.69 99
120449.0  48488.08 99
120450.0  48487.70 99
120451.0  48487.68 99
120452.0  48487.54 99
120453.0  48486.76 99
120454.0  48486.97 99
120455.0  48487.11 99
120456.0  48487.34 99
120457.0  48487.72 99
120458.0  48488.00 99
120459.0  48488.43 99
120500.0  48488.96 99
120501.0  48488.84 99
120502.0  48488.54 99
120503.0  48488.88 99
120504.0  48489.07 99
120505.0  48488.90 99
120506.0  48489.47 99
120507.0  48489.69 99
120508.0  48490.57 99
120509.0  48489.68 99
120510.0  48489.95 99
120511.0  48489.47 99
120512.0  48488.80 99
120513.0  48488.90 99
120514.0  48489.04 99
120515.0  48489.28 99
120516.0  48489.23 99
120517.0  48489.79 99
120518.0  48490.22 99
120519.0  48489.59 99
120520.0  48488.96 99
120521.0  48488.43 99
120522.0  48488.94 99
120523.0  48489.46 99
120524.0  48489.57 99
120525.0  48489.75 99
120526.0  48489.60 99
120527.0  48489.21 99
120528.0  48489.30 99
120529.0  48489.63 99
120530.0  48489.43 99
120531.0  48489.28 99
120532.0  48489.66 99
120533.0  48489.49 99
120534.0  48489.65 99
120535.0  48489.71 99
120536.0  48489.73 99
120537.0  48489.63 99
120538.0  48489.11 99
120539.0  48489.08 99
120540.0  48489.11 99
120541.0  48489.41 99
120542.0  48489.58 99
120543.0  48489.60 99
120544.0  48488.53 99
120545.0  48487.85 99
120546.0  48487.94 99
120547.0  48487.17 99
120548.0  48487.07 99
120549.0  48487.15 99
120550.0  48486.66 99
120551.0  48486.13 99
120552.0  48485.89 99
120553.0  48485.52 99
120554.0  48486.43 99
120555.0  48486.20 99
120556.0  48485.85 99
120557.0  48485.93 99
120558.0  48486.50 99
120559.0  48487.49 99
120600.0  48487.42 99
120601.0  48487.41 99
120602.0  48487.12 99
120603.0  48487.19 99
120604.0  48487.99 99
120605.0  48487.94 99
120606.0  48488.37 99
120607.0  48489.21 99
120608.0  48489.79 99
120609.0  48490.17 99
120610.0  48490.51 99
120611.0  48490.30 99
120612.0  48490.19 99
120613.0  48490.56 99
120614.0  48490.61 99
120615.0  48490.55 99
120616.0  48490.24 99
120617.0  48490.27 99
120618.0  48491.11 99
120619.0  48491.02 99
120620.0  48490.69 99
120621.0  48490.35 99
120622.0  48489.72 99
120623.0  48489.00 99
120624.0  48488.52 99
120625.0  48488.10 99
120626.0  48487.88 99
120627.0  48488.10 99
120628.0  48487.76 99
120629.0  48488.37 99
120630.0  48489.21 99
120631.0  48489.85 99
120632.0  48489.82 99
120633.0  48489.69 99
120634.0  48490.01 99
120635.0  48490.20 99
120636.0  48490.40 99
120637.0  48490.86 99
120638.0  48491.80 99
120639.0  48492.23 99
120640.0  48492.18 99
120641.0  48491.95 99
120642.0  48491.38 99
120643.0  48491.11 99
120644.0  48490.90 99
120645.0  48490.77 99
120646.0  48490.23 99
120647.0  48489.61 99
120648.0  48489.50 99
120649.0  48488.81 99
120650.0  48487.95 99
120651.0  48487.59 99
120652.0  48487.25 99
120653.0  48486.52 99
120654.0  48485.98 99
120655.0  48485.94 99
120656.0  48486.04 99
120657.0  48486.84 99
120658.0  48487.03 99
120659.0  48487.14 99
120700.0  48487.49 99
120701.0  48487.65 99
120702.0  48487.47 99
120703.0  48487.54 99
120704.0  48487.51 99
120705.0  48487.70 99
120706.0  48487.53 99
120707.0  48487.66 99
120708.0  48487.47 99
120709.0  48487.41 99
120710.0  48487.24 99
120711.0  48487.00 99
120712.0  48487.32 99
120713.0  48488.15 99
120714.0  48488.31 99
120715.0  48488.96 99
120716.0  48489.47 99
120717.0  48490.02 99
120718.0  48489.85 99
120719.0  48489.73 99
120720.0  48489.04 99
120721.0  48488.52 99
120722.0  48488.33 99
120723.0  48488.48 99
120724.0  48488.02 99
120725.0  48487.75 99
120726.0  48487.49 99
120727.0  48487.03 99
120728.0  48487.32 99
120729.0  48488.02 99
120730.0  48487.70 99
120731.0  48488.04 99
120732.0  48488.04 99
120733.0  48487.53 99
120734.0  48487.62 99
120735.0  48487.43 99
120736.0  48487.44 99
120737.0  48486.57 99
120738.0  48485.71 99
120739.0  48486.89 99
120740.0  48487.63 99
120741.0  48487.82 99
120742.0  48487.94 99
120743.0  48488.31 99
120744.0  48489.25 99
120745.0  48489.10 99
120746.0  48488.35 99
120747.0  48488.53 99
120748.0  48489.36 99
120749.0  48489.54 99
120750.0  48489.20 99
120751.0  48489.47 99
120752.0  48489.40 99
120753.0  48489.01 99
120754.0  48489.44 99
120755.0  48489.99 99
120756.0  48490.37 99
120757.0  48490.23 99
120758.0  48490.80 99
120759.0  48491.38 99
120800.0  48491.27 99
120801.0  48491.17 99
120802.0  48491.37 99
120803.0  48492.35 99
120804.0  48492.01 99
120805.0  48490.94 99
120806.0  48490.97 99
120807.0  48490.20 99
120808.0  48489.90 99
120809.0  48490.11 99
120810.0  48490.14 99
120811.0  48489.04 99
120812.0  48488.36 99
120813.0  48488.62 99
120814.0  48488.86 99
120815.0  48489.59 99
120816.0  48489.64 99
120817.0  48488.99 99
120818.0  48488.74 99
120819.0  48489.05 99
120820.0  48488.57 99
120821.0  48488.52 99
120822.0  48488.43 99
120823.0  48488.22 99
120824.0  48488.08 99
120825.0  48488.23 99
120826.0  48488.18 99
120827.0  48487.93 99
120828.0  48487.82 99
120829.0  48487.71 99
120830.0  48487.47 99
120831.0  48487.69 99
120832.0  48487.92 99
120833.0  48487.97 99
120834.0  48487.95 99
120835.0  48488.27 99
120836.0  48488.21 99
120837.0  48488.04 99
120838.0  48487.94 99
120839.0  48487.86 99
120840.0  48488.30 99
120841.0  48487.81 99
120842.0  48488.05 99
120843.0  48488.36 99
120844.0  48488.01 99
120845.0  48487.48 99
120846.0  48487.07 99
120847.0  48487.11 99
120848.0  48487.49 99
120849.0  48488.27 99
120850.0  48488.80 99
120851.0  48488.65 99
120852.0  48488.69 99
120853.0  48488.55 99
120854.0  48488.07 99
120855.0  48487.96 99
120856.0  48487.76 99
120857.0  48487.59 99
120858.0  48487.30 99
120859.0  48487.05 99
120900.0  48487.26 99
120901.0  48488.44 99
120902.0  48489.04 99
120903.0  48488.35 99
120904.0  48487.94 99
120905.0  48488.12 99
120906.0  48488.50 99
120907.0  48488.51 99
120908.0  48488.81 99
120909.0  48489.00 99
120910.0  48489.82 99
120911.0  48490.11 99
120912.0  48490.36 99
120913.0  48490.44 99
120914.0  48490.10 99
