 # MagPy - ASCII
 # DataPier:  A2
 # DataComponents:  IDFF
 # StationID:  WIC
 # DataFormat:  MagPyDI
# head:
Epoch[],i[deg],d[deg],f[nT],f[nT],T[deg C],ScaleValueDI[deg/unit],Dec_S0[],Dec_deltaH[],Dec_epsilonZ[],Inc_S0[],Inc_epsilonZ[],H-base[nT],D-base[deg],Z-base[nT],dF[],Person[],DI-Inst[],Mire[],F-type[],-[],-[],-[],-[]
# data:
2015-12-23T08:15:00.000000,64.2888359772,3.91103840942,48502.4998495,48502.4998495,6.8,0.978026922042,0.737584099874,-3.57217832413,10.3008633235,3.3403064611,9.67759827311,20959.3571131,3.86674992824,43568.4843962,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-12-23T08:44:59.971196,64.2905134542,3.91559039911,48499.2981263,48499.2981263,6.8,0.983573818469,2.24866604015,-3.04729047423,8.34476955984,3.20228274445,8.72231285222,20958.7719675,3.86724125421,43568.7448673,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-12-29T08:42:59.961597,64.274769513,3.91007274285,48504.2564428,48504.2564428,6.9,0.981611229247,0.244744869618,-3.60640883797,9.78790314289,1.29068017477,9.40075318447,20958.5622869,3.86578162715,43568.7331139,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2015-12-29T09:13:59.980798,64.2804746721,3.90805061612,48501.7239016,48501.7239016,6.9,0.985576428983,1.32702578205,-3.00123244858,8.77369486056,1.78766795153,8.44425577311,20958.5990463,3.86677237884,43568.7608398,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2016-01-07T09:09:59.961601,64.278414082,3.87602977363,48497.5361227,48497.5361227,6.8,0.984383438528,1.31123917847,-3.71659099661,9.71043847446,2.20861210373,9.15058408234,20958.6032196,3.86581808557,43568.6399089,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2016-01-07T09:36:59.961595,64.2797192467,3.87828961086,48495.1232313,48495.1232313,6.8,0.975036185353,2.24454082162,-3.5263421165,8.4967837863,2.49369820611,7.96690110195,20958.5221739,3.86654270047,43568.7573251,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2016-01-14T08:23:00.038404,64.2768588611,3.90334512862,48506.0094233,48506.0094233,6.8,0.968738509904,2.12103149337,-3.81518789444,8.78748409261,2.98688883718,8.34847158418,20958.8018761,3.86632949162,43568.5623872,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2016-01-14T08:53:00.009600,64.2920502293,3.9142508816,48501.5975638,48501.5975638,6.8,0.982559063269,2.62063936402,-3.23504805757,7.45032519396,3.02691627067,7.52973103856,20958.4918387,3.86648891143,43568.6958976,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2016-01-21T09:02:59.971202,64.3161241338,3.90798871338,48491.2688886,48491.2688886,6.7,0.970903409509,-3.67854839053,-3.74541098665,9.32344267202,1.57270706958,8.24492512919,20958.4878928,3.86632587146,43568.7621745,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2016-01-21T09:36:00.000000,64.3168996419,3.85716552786,48493.4794703,48493.4794703,6.7,0.989159170453,2.05202934686,-3.17667967681,7.45659604933,1.89126864201,7.13752046333,20958.3259089,3.86666211504,43568.7925179,nan,Herzog,Hegy_6814-5255_04-2012_DTU_DI0146_04-2012,180.137196,Fext,0000000000000000-,-,idff,-
2016-01-21T10:18:00.028799,64.3305264314,3.90955218277,48488.8874398,48488.8874398,6.7,1.01397726266,1.93352891176,-2.10000900758,-13.2179098996,2.74011198151,-16.0152678336,20958.8434085,3.86492498616,43568.5439109,nan,Herzog,WILD_231067_07-2011_MAG01H_562_1024H_07-2011,180.1372,Fext,0000000000000000-,-,idff,-
